token                token_type           token_value         
------------------------------------------------------
puts                 ID                   1                   
:                    Delimiter            :                   
function             keyWord              function            
void                 keyWord              void                
(                    Delimiter            (                   
s                    ID                   2                   
:                    Delimiter            :                   
string               keyWord              string              
)                    Delimiter            )                   
;                    Delimiter            ;                   
main                 ID                   3                   
:                    Delimiter            :                   
function             keyWord              function            
integer              keyWord              integer             
(                    Delimiter            (                   
)                    Delimiter            )                   
=                    Operator             =                   
{                    Delimiter            {                   
puts                 ID                   1                   
(                    Delimiter            (                   
hello world          String               hello world         
)                    Delimiter            )                   
;                    Delimiter            ;                   
}                    Delimiter            }                   
